id_venta,fecha,zona,canal,categoria,producto,vendedor,tipo_cliente,unidades,precio_unitario,ventas,costo_estimado
2,2025-08-08,Norte,Televentas,Cuidado personal,Plancha cabello,Paola,Minorista,15,114000,1710000.0,1136000
4,2025-05-01,Centro,Online,Hogar,Cafetera,Paola,Corporativo,11,186000,2046000.0,1318000
5,2025-08-20,Occidente,Tienda Física,Oficina,Agenda,Carlos,Corporativo,0,143000,0.0,0
6,2025-10-20,Centro,Distribuidor,Hogar,Lámpara,Luis,Frecuente,12,190000,2280000.0,1383000
7,2025-03-31,Sur,Online,Tecnología,Audífonos,Ana,Frecuente,16,299000,4784000.0,3661000
8,2025-10-15,Occidente,Tienda Física,Oficina,Silla,Marta,Corporativo,10,162000,1620000.0,1038000
10,2025-07-08,Centro,Online,Oficina,Escritorio,Marta,Corporativo,1,149000,149000.0,106000
11,2025-06-16,Sur,Online,Hogar,Ventilador,Daniela,Corporativo,4,125000,500000.0,349000
12,2025-02-06,Norte,Televentas,Oficina,Escritorio,Sergio,Corporativo,6,228000,1368000.0,816000
13,2025-01-24,Sur,Televentas,Tecnología,Tablet,Carlos,Nuevo,6,231000,1386000.0,1070000
14,2025-01-22,Sur,Online,Accesorios,Soporte portátil,Ana,Minorista,11,51000,561000.0,399000
15,2025-10-15,Norte,Tienda Física,Tecnología,Audífonos,Luis,Corporativo,14,207000,2898000.0,1643000
16,2025-08-18,Sur,Televentas,Oficina,Agenda,Carlos,Corporativo,1,182000,182000.0,110000
17,2025-07-27,Sur,Distribuidor,Cuidado personal,Kit cuidado,Sergio,Corporativo,3,102000,306000.0,195000
20,2025-12-27,Occidente,Tienda Física,Tecnología,Audífonos,Ana,Frecuente,17,327000,5559000.0,3254000
21,2025-04-13,Sur,Televentas,Hogar,Lámpara,Paola,Nuevo,15,133000,1995000.0,1177000
22,2025-05-20,Norte,Distribuidor,Cuidado personal,Secador,Luis,Minorista,3,93000,279000.0,192000
23,2025-05-03,Occidente,Online,Oficina,Silla,Sergio,Frecuente,1,150000,150000.0,110000
24,2025-09-29,Oriente,Online,Hogar,Organizador,Sergio,Minorista,3,187000,561000.0,405000
25,2025-04-07,Norte,Online,Oficina,Agenda,Marta,Corporativo,12,204000,2448000.0,1352000
26,2025-12-09,Occidente,Distribuidor,Cuidado personal,Masajeador,Ana,Corporativo,2,110000,220000.0,161000
27,2025-01-17,Oriente,Distribuidor,Accesorios,Soporte portátil,Jorge,Corporativo,17,52000,884000.0,531000
28,2025-06-30,Norte,Televentas,Oficina,Silla,Sergio,Corporativo,15,233000,3495000.0,2468000
29,2025-11-28,Sur,Online,Hogar,Ventilador,Sergio,Corporativo,0,139000,0.0,0
31,2025-07-27,Norte,Televentas,Tecnología,Audífonos,Ana,Corporativo,7,228000,1596000.0,1073000
32,2025-09-21,Centro,Online,Hogar,Organizador,Jorge,Frecuente,6,142000,852000.0,565000
35,2025-07-01,Sur,Distribuidor,Hogar,Ventilador,Marta,Corporativo,15,189000,2835000.0,1689000
36,2025-02-09,Occidente,Tienda Física,Oficina,Archivador,Marta,Corporativo,7,149000,1043000.0,759000
37,2025-01-17,Oriente,Online,Tecnología,Tablet,Marta,Minorista,9,260000,2340000.0,1353000
39,2025-07-25,Centro,Online,Oficina,Archivador,Ana,Corporativo,15,219000,3285000.0,2488000
40,2025-06-26,Norte,Distribuidor,Accesorios,Cable USB,Jorge,Minorista,15,46000,690000.0,479000
41,2025-04-24,Sur,Tienda Física,Hogar,Organizador,Jorge,Corporativo,7,116000,812000.0,492000
42,2025-02-19,Occidente,Distribuidor,Tecnología,Teclado,Luis,Nuevo,2,202000,404000.0,260000
43,2025-09-04,Centro,Distribuidor,Hogar,Ventilador,Marta,Minorista,6,141000,846000.0,561000
44,2025-05-31,Norte,Online,Hogar,Organizador,Daniela,Frecuente,10,132000,1320000.0,932000
46,2025-01-10,Oriente,Online,Tecnología,Audífonos,Luis,Minorista,8,345000,2760000.0,1676000
47,2025-07-12,Centro,Online,Oficina,Escritorio,Luis,Frecuente,5,216000,1080000.0,767000
48,2025-02-10,Sur,Online,Accesorios,Cable USB,Paola,Minorista,9,48000,432000.0,335000
50,2025-03-08,Centro,Televentas,Tecnología,Tablet,Carlos,Nuevo,2,246000,492000.0,291000
51,2025-12-01,Sur,Distribuidor,Hogar,Organizador,Luis,Minorista,14,194000,2716000.0,1654000
